aX,aY,aZ,gX,gY,gZ
-0.231,0.052,0.081,28.137,-196.533,-106.018
-0.279,-0.064,0.304,46.021,-179.932,-95.703
-0.346,-0.245,0.524,65.857,-153.381,-89.966
-0.364,-0.519,0.811,85.693,-120.239,-87.280
-0.376,-0.855,1.049,103.577,-86.975,-81.848
-0.275,-1.318,1.361,112.000,-42.053,-68.726
0.063,-1.513,2.105,96.741,19.165,-55.664
0.714,-1.287,2.438,50.049,55.969,-40.710
0.768,-1.013,1.954,43.457,31.738,-48.889
0.285,-0.825,1.691,48.523,29.114,-55.664
0.056,-0.837,1.401,67.749,64.636,-75.684
-0.124,-0.840,1.189,86.426,106.873,-101.074
-0.292,-0.837,0.966,105.164,145.020,-123.779
-0.378,-0.812,0.845,120.667,174.866,-141.479
-0.401,-0.781,0.802,131.775,189.697,-148.560
-0.369,-0.745,0.760,139.832,192.932,-145.081
-0.335,-0.747,0.726,143.555,189.575,-134.155
-0.357,-0.825,0.665,147.766,186.218,-120.667
-0.365,-1.250,1.043,153.931,196.777,-107.544
0.371,-2.650,0.374,188.782,171.265,-88.440
2.685,-1.531,-1.018,488.770,-8.057,70.129
-1.216,-3.930,1.345,532.288,-159.485,63.660
-1.190,-1.886,0.778,425.964,-96.069,-147.278
0.185,-2.012,0.837,275.757,9.827,-133.362
1.522,-2.511,1.201,-101.807,97.534,30.823
2.406,-2.781,-0.563,-359.863,149.292,206.909
0.950,-1.013,0.396,-235.107,51.025,256.409
-0.533,-3.377,0.707,-69.153,-67.383,247.070
-0.540,-2.459,0.562,-39.612,-251.465,347.107
-0.912,-1.379,0.453,20.752,-307.495,459.595
-0.886,-2.371,0.918,173.950,-319.946,422.424
-0.761,-2.500,2.037,271.118,-340.942,275.146
-0.458,-2.535,2.659,208.557,-293.579,115.845
-0.341,-1.514,2.053,122.314,-201.050,40.222
-0.404,-1.392,1.801,88.867,-151.733,-23.560
0.265,-1.333,1.102,64.270,-62.500,-79.895
-0.057,-1.367,0.790,64.331,22.278,-80.139
-0.670,-1.357,0.970,79.590,62.805,-35.278
-1.012,-1.264,0.699,71.838,109.497,24.414
-0.855,-1.115,0.440,23.193,145.508,66.406
-0.885,-1.007,0.440,-32.837,126.526,91.431
-0.856,-0.878,0.528,-88.257,93.506,92.834
-0.766,-0.791,0.661,-129.456,67.932,79.346
-0.641,-0.735,0.684,-151.978,44.983,63.721
-0.518,-0.758,0.674,-163.757,19.409,52.612
-0.370,-0.871,0.654,-167.847,-1.587,47.119
-0.271,-0.987,0.668,-166.260,-14.954,46.021
-0.214,-0.998,0.640,-161.682,-15.076,49.683
-0.168,-0.981,0.644,-149.048,-4.333,57.495
-0.036,-1.030,0.772,-123.962,7.568,65.247
0.103,-1.095,1.006,-93.018,25.757,78.552
0.151,-1.126,1.179,-68.726,53.101,94.360
0.128,-1.104,1.283,-57.312,85.144,102.295
0.135,-1.090,1.290,-57.800,113.220,99.609
0.177,-1.133,1.316,-63.904,125.671,89.294
0.306,-1.143,1.188,-73.730,125.488,75.989
0.492,-1.114,1.074,-78.247,110.718,63.477
0.678,-1.028,1.072,-75.012,92.224,54.688
0.791,-0.929,1.039,-64.758,80.322,49.011
0.872,-0.814,1.075,-49.072,76.965,48.462
1.019,-0.688,1.012,-30.273,85.205,52.917
1.034,-0.587,0.985,-11.719,93.384,59.387
1.016,-0.558,0.900,-1.831,98.755,64.392
1.030,-0.519,0.714,0.427,99.854,71.045
0.986,-0.463,0.587,-6.348,99.182,80.627
0.870,-0.377,0.476,-15.137,91.309,91.797
0.747,-0.268,0.417,-19.958,76.599,102.966
-0.992,1.430,-1.398,-45.837,-71.838,9.888
-1.098,1.318,-1.451,-47.729,-78.918,-9.216
-0.832,1.164,-1.156,-27.710,-74.646,-53.894
-0.598,1.039,-0.949,-10.376,-90.942,-95.398
-0.476,0.851,-0.885,-3.418,-126.099,-112.122
-0.424,0.667,-0.850,0.305,-149.780,-113.953
-0.376,0.484,-0.807,5.676,-153.137,-114.441
