aX,aY,aZ,gX,gY,gZ
0.499,-0.653,0.632,11.658,110.962,31.555
0.410,-0.646,0.458,-13.794,108.093,50.781
0.319,-0.642,0.334,-34.912,96.375,70.984
0.196,-0.635,0.243,-46.143,78.918,87.769
0.126,-0.619,0.182,-46.387,64.392,102.661
0.022,-0.599,0.165,-36.926,51.392,116.150
-0.040,-0.580,0.159,-20.996,41.016,127.686
-0.095,-0.513,0.149,-2.441,30.823,137.390
-0.157,-0.375,0.132,16.174,15.930,146.423
-0.238,-0.194,0.116,31.921,-1.831,153.442
-0.332,0.017,0.114,42.358,-19.287,158.508
-0.396,0.247,0.100,46.997,-31.494,160.339
-0.449,0.484,0.086,45.166,-36.804,156.616
-0.495,0.703,0.063,35.400,-39.734,147.339
-0.497,0.935,0.013,18.433,-44.983,133.606
-0.449,1.189,-0.026,-0.183,-53.406,118.042
-0.371,1.447,-0.069,-13.306,-59.570,102.478
-0.290,1.665,-0.140,-20.325,-57.434,86.060
-0.225,1.785,-0.243,-22.827,-42.419,67.078
-0.140,1.801,-0.356,-27.039,-18.555,47.119
-0.117,1.773,-0.476,-34.790,8.118,28.259
-0.097,1.712,-0.597,-39.795,33.264,14.648
-0.024,1.750,-0.729,-39.795,48.523,6.409
0.092,1.878,-0.827,-33.386,48.645,-0.488
0.125,2.018,-0.903,-19.287,37.720,-7.202
0.103,2.066,-0.882,0.061,26.184,-12.329
0.079,2.091,-0.849,16.174,20.447,-16.907
0.081,2.068,-0.784,22.949,21.729,-23.193
0.056,2.038,-0.714,23.743,26.184,-32.471
-0.020,2.042,-0.628,26.611,28.198,-42.175
-0.060,2.091,-0.522,33.264,22.400,-52.185
-0.035,2.152,-0.412,38.025,9.216,-62.805
-0.008,2.205,-0.294,34.973,-6.348,-69.519
0.009,2.265,-0.160,24.597,-20.874,-70.313
0.016,2.311,-0.077,10.071,-29.358,-64.941
0.025,2.315,-0.013,-6.287,-33.997,-57.068
0.010,2.386,0.045,-22.339,-41.321,-47.180
0.051,2.478,0.118,-36.560,-54.199,-38.513
0.131,2.532,0.165,-52.551,-70.313,-36.621
